Body Frame,Type of Hair,Color of Hair,Skin,Complexion,Body Weight,Nails,Size and Color of the Teeth,Pace of Performing Work,Mental Activity,Memory,Sleep Pattern,Weather Conditions,Reaction under Adverse Situations,Mood,Eating Habit,Hunger,Body Temperature,Joints,Nature,Body Energy,Quality of Voice,Body Odor,Dosha
Well Built,Greasy,Brown,"Moist,Greasy",Dark,Underweight,Blackish,"Large,White",Medium,Aggressive,Long Term,Moderate,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Heavy,"Jealous,Fearful",Low,Fast,Strong,Kapha
Medium,Normal,Black,"Soft,Sweating",Glowing,Underweight,Blackish,"Medium,Yellowish",Medium,Stable,Short term,Less,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,Less than Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Strong,Pitta
Thin and Lean,Dry,Grey,"Dry,Rough",Dark,Overweight,Pinkish,"Irregular,Blackish",Medium,Stable,Long Term,Sleepy,Dislike Heat,Anger,Constant,Proper Chewing,Skips Meal,Less than Normal,Weak,"Egoistic,Fearless",Low,Rough,Strong,Kapha
Well Built,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Pinkish,"Medium,Yellowish",Medium,Aggressive,Good Memory,Sleepy,Dislike Heat,Anger,Constant,Irregular Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",Low,Deep,Strong,Kapha
Medium,Normal,Black,"Soft,Sweating",Pinkish,Normal,Pinkish,"Medium,Yellowish",Slow,Aggressive,Good Memory,Less,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Egoistic,Fearless",Medium,Deep,Negligible,Pitta
Medium,Greasy,Grey,"Dry,Rough",Dark,Underweight,Redish,"Large,White",Fast,Stable,Long Term,Less,Dislike Heat,Anxiety,Constant,Irregular Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Negligible,Pitta
Well Built,Dry,Grey,"Soft,Sweating",Pinkish,Overweight,Blackish,"Medium,Yellowish",Slow,Aggressive,Good Memory,Less,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Egoistic,Fearless",Low,Deep,Negligible,Kapha
Thin and Lean,Normal,Grey,"Dry,Rough",Glowing,Overweight,Blackish,"Irregular,Blackish",Medium,Restless,Long Term,Less,Dislike Moist,Anger,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",Low,Fast,Negligible,Pitta
Well Built,Normal,Brown,"Dry,Rough",Glowing,Normal,Blackish,"Medium,Yellowish",Fast,Stable,Short term,Moderate,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Medium,Rough,Strong,Kapha
Medium,Normal,Brown,"Moist,Greasy",Glowing,Normal,Redish,"Irregular,Blackish",Fast,Aggressive,Short term,Less,Dislike Heat,Calm,Constant,Proper Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",Low,Fast,Negligible,Pitta
Well Built,Dry,Grey,"Dry,Rough",Pinkish,Overweight,Pinkish,"Large,White",Medium,Stable,Short term,Moderate,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Negligible,Kapha
Well Built,Dry,Brown,"Moist,Greasy",Dark,Overweight,Blackish,"Irregular,Blackish",Fast,Stable,Long Term,Less,Dislike Heat,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Healthy,"Forgiving,Grateful",Low,Rough,Mild,Vata
Thin and Lean,Greasy,Black,"Soft,Sweating",Dark,Overweight,Redish,"Medium,Yellowish",Fast,Aggressive,Good Memory,Sleepy,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Irregular,More than Normal,Weak,"Forgiving,Grateful",Low,Rough,Mild,Vata
Medium,Dry,Black,"Dry,Rough",Pinkish,Overweight,Blackish,"Medium,Yellowish",Medium,Stable,Short term,Less,Dislike Heat,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Forgiving,Grateful",High,Rough,Negligible,Kapha
Medium,Normal,Black,"Dry,Rough",Dark,Overweight,Blackish,"Medium,Yellowish",Medium,Restless,Long Term,Less,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",Low,Fast,Mild,Pitta
Thin and Lean,Dry,Grey,"Soft,Sweating",Pinkish,Underweight,Pinkish,"Medium,Yellowish",Medium,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Constant,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Jealous,Fearful",High,Deep,Mild,Kapha
Medium,Normal,Grey,"Soft,Sweating",Glowing,Overweight,Redish,"Medium,Yellowish",Fast,Stable,Short term,Less,Dislike Cold,Anger,Changes Slowly,Improper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Mild,Pitta
Thin and Lean,Normal,Black,"Soft,Sweating",Dark,Overweight,Pinkish,"Irregular,Blackish",Fast,Stable,Good Memory,Less,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Healthy,"Jealous,Fearful",Low,Deep,Mild,Kapha
Medium,Dry,Grey,"Moist,Greasy",Glowing,Underweight,Redish,"Medium,Yellowish",Medium,Stable,Good Memory,Moderate,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Jealous,Fearful",High,Fast,Negligible,Pitta
Medium,Dry,Black,"Soft,Sweating",Glowing,Overweight,Redish,"Large,White",Slow,Restless,Long Term,Sleepy,Dislike Moist,Anxiety,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",Low,Fast,Negligible,Pitta
Thin and Lean,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Blackish,"Irregular,Blackish",Fast,Restless,Long Term,Moderate,Dislike Moist,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,More than Normal,Weak,"Forgiving,Grateful",High,Rough,Negligible,Vata
Medium,Greasy,Black,"Dry,Rough",Dark,Underweight,Redish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Moderate,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",High,Rough,Strong,Pitta
Thin and Lean,Normal,Grey,"Moist,Greasy",Pinkish,Normal,Pinkish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Moderate,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Healthy,"Forgiving,Grateful",High,Deep,Mild,Kapha
Well Built,Dry,Black,"Soft,Sweating",Pinkish,Underweight,Blackish,"Large,White",Fast,Restless,Long Term,Sleepy,Dislike Heat,Anger,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",High,Deep,Negligible,Kapha
Medium,Normal,Black,"Moist,Greasy",Pinkish,Underweight,Redish,"Large,White",Medium,Restless,Good Memory,Moderate,Dislike Moist,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",High,Deep,Negligible,Pitta
Thin and Lean,Dry,Black,"Soft,Sweating",Dark,Overweight,Redish,"Medium,Yellowish",Slow,Aggressive,Short term,Sleepy,Dislike Cold,Calm,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",Low,Fast,Mild,Kapha
Medium,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Redish,"Medium,Yellowish",Fast,Restless,Long Term,Sleepy,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",High,Fast,Mild,Pitta
Medium,Normal,Black,"Soft,Sweating",Glowing,Underweight,Blackish,"Large,White",Medium,Stable,Good Memory,Sleepy,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",High,Fast,Mild,Pitta
Well Built,Normal,Brown,"Dry,Rough",Glowing,Overweight,Blackish,"Large,White",Medium,Aggressive,Short term,Sleepy,Dislike Heat,Anger,Constant,Irregular Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Medium,Deep,Negligible,Pitta
Well Built,Normal,Black,"Moist,Greasy",Glowing,Overweight,Redish,"Large,White",Fast,Stable,Long Term,Sleepy,Dislike Moist,Anger,Constant,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Strong,Kapha
Medium,Normal,Black,"Dry,Rough",Pinkish,Overweight,Redish,"Medium,Yellowish",Fast,Restless,Long Term,Less,Dislike Cold,Anxiety,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Strong,Pitta
Medium,Dry,Black,"Moist,Greasy",Pinkish,Overweight,Blackish,"Medium,Yellowish",Fast,Restless,Short term,Less,Dislike Heat,Anxiety,Changes Quickly,Proper Chewing,Skips Meal,Normal,Heavy,"Egoistic,Fearless",High,Deep,Mild,Pitta
Well Built,Greasy,Grey,"Dry,Rough",Dark,Overweight,Pinkish,"Large,White",Slow,Aggressive,Good Memory,Less,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Normal,Weak,"Jealous,Fearful",Medium,Deep,Mild,Kapha
Thin and Lean,Greasy,Grey,"Moist,Greasy",Glowing,Overweight,Redish,"Irregular,Blackish",Fast,Stable,Short term,Moderate,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Mild,Pitta
Well Built,Normal,Black,"Dry,Rough",Pinkish,Overweight,Blackish,"Large,White",Medium,Aggressive,Long Term,Moderate,Dislike Cold,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Mild,Pitta
Well Built,Dry,Brown,"Moist,Greasy",Dark,Normal,Redish,"Irregular,Blackish",Slow,Stable,Good Memory,Less,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Skips Meal,Normal,Healthy,"Forgiving,Grateful",High,Rough,Mild,Kapha
Well Built,Normal,Grey,"Soft,Sweating",Dark,Overweight,Pinkish,"Irregular,Blackish",Slow,Aggressive,Short term,Moderate,Dislike Heat,Anxiety,Changes Quickly,Irregular Chewing,Irregular,Normal,Weak,"Jealous,Fearful",Medium,Rough,Negligible,Vata
Medium,Greasy,Brown,"Soft,Sweating",Glowing,Overweight,Pinkish,"Irregular,Blackish",Fast,Restless,Long Term,Less,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",High,Rough,Negligible,Pitta
Thin and Lean,Normal,Black,"Dry,Rough",Pinkish,Underweight,Blackish,"Large,White",Fast,Restless,Short term,Moderate,Dislike Heat,Anxiety,Constant,Improper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",Low,Rough,Mild,Vata
Thin and Lean,Greasy,Black,"Soft,Sweating",Glowing,Underweight,Redish,"Large,White",Medium,Stable,Short term,Less,Dislike Moist,Anxiety,Changes Slowly,Improper Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Strong,Kapha
Thin and Lean,Greasy,Brown,"Moist,Greasy",Glowing,Underweight,Pinkish,"Irregular,Blackish",Fast,Aggressive,Long Term,Moderate,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",High,Fast,Mild,Pitta
Thin and Lean,Dry,Grey,"Moist,Greasy",Dark,Overweight,Pinkish,"Irregular,Blackish",Slow,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Weak,"Forgiving,Grateful",Low,Fast,Negligible,Kapha
Thin and Lean,Greasy,Black,"Dry,Rough",Glowing,Overweight,Pinkish,"Irregular,Blackish",Medium,Stable,Long Term,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",High,Fast,Negligible,Kapha
Thin and Lean,Greasy,Brown,"Soft,Sweating",Dark,Underweight,Pinkish,"Medium,Yellowish",Medium,Stable,Long Term,Sleepy,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Weak,"Jealous,Fearful",High,Rough,Strong,Kapha
Thin and Lean,Dry,Brown,"Dry,Rough",Dark,Overweight,Blackish,"Irregular,Blackish",Slow,Restless,Short term,Moderate,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Forgiving,Grateful",High,Deep,Negligible,Kapha
Thin and Lean,Greasy,Brown,"Soft,Sweating",Glowing,Normal,Redish,"Medium,Yellowish",Slow,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Constant,Irregular Chewing,Skips Meal,More than Normal,Healthy,"Egoistic,Fearless",Low,Rough,Mild,Kapha
Medium,Dry,Black,"Moist,Greasy",Glowing,Overweight,Redish,"Medium,Yellowish",Slow,Stable,Long Term,Less,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Medium,Deep,Negligible,Kapha
Thin and Lean,Dry,Brown,"Moist,Greasy",Pinkish,Normal,Redish,"Large,White",Fast,Stable,Good Memory,Moderate,Dislike Moist,Anger,Changes Slowly,Irregular Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",High,Fast,Negligible,Kapha
Medium,Dry,Black,"Moist,Greasy",Dark,Overweight,Redish,"Irregular,Blackish",Medium,Restless,Long Term,Moderate,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",High,Rough,Strong,Kapha
Medium,Dry,Black,"Soft,Sweating",Pinkish,Underweight,Pinkish,"Medium,Yellowish",Fast,Stable,Short term,Moderate,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Low,Deep,Mild,Kapha
Thin and Lean,Normal,Black,"Dry,Rough",Pinkish,Overweight,Redish,"Irregular,Blackish",Fast,Stable,Short term,Moderate,Dislike Moist,Calm,Constant,Irregular Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",Low,Deep,Strong,Kapha
Well Built,Greasy,Black,"Dry,Rough",Dark,Overweight,Blackish,"Medium,Yellowish",Fast,Restless,Long Term,Moderate,Dislike Moist,Calm,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Forgiving,Grateful",High,Fast,Negligible,Pitta
Medium,Dry,Grey,"Moist,Greasy",Dark,Underweight,Pinkish,"Large,White",Slow,Restless,Short term,Sleepy,Dislike Cold,Anger,Constant,Improper Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Negligible,Kapha
Thin and Lean,Dry,Brown,"Moist,Greasy",Dark,Underweight,Pinkish,"Irregular,Blackish",Fast,Aggressive,Good Memory,Less,Dislike Cold,Anxiety,Constant,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",Low,Fast,Mild,Pitta
Medium,Dry,Grey,"Dry,Rough",Glowing,Underweight,Redish,"Irregular,Blackish",Slow,Restless,Long Term,Less,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Rough,Mild,Vata
Thin and Lean,Greasy,Grey,"Dry,Rough",Dark,Underweight,Redish,"Medium,Yellowish",Fast,Restless,Long Term,Less,Dislike Moist,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Mild,Pitta
Medium,Normal,Black,"Dry,Rough",Dark,Normal,Redish,"Large,White",Slow,Restless,Good Memory,Sleepy,Dislike Cold,Calm,Changes Slowly,Improper Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",High,Fast,Mild,Pitta
Medium,Normal,Grey,"Dry,Rough",Dark,Normal,Pinkish,"Irregular,Blackish",Fast,Restless,Short term,Sleepy,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Mild,Pitta
Thin and Lean,Dry,Black,"Soft,Sweating",Dark,Underweight,Blackish,"Large,White",Fast,Aggressive,Long Term,Less,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Forgiving,Grateful",High,Fast,Strong,Pitta
Well Built,Normal,Black,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Irregular,Blackish",Fast,Restless,Long Term,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",High,Deep,Strong,Kapha
Well Built,Greasy,Grey,"Soft,Sweating",Pinkish,Underweight,Redish,"Irregular,Blackish",Fast,Aggressive,Good Memory,Sleepy,Dislike Heat,Anger,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Deep,Strong,Kapha
Medium,Dry,Brown,"Dry,Rough",Pinkish,Normal,Pinkish,"Medium,Yellowish",Slow,Restless,Good Memory,Moderate,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Strong,Kapha
Medium,Normal,Black,"Moist,Greasy",Dark,Overweight,Redish,"Large,White",Slow,Aggressive,Short term,Moderate,Dislike Cold,Calm,Constant,Irregular Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",Low,Fast,Negligible,Pitta
Well Built,Greasy,Brown,"Dry,Rough",Pinkish,Underweight,Pinkish,"Medium,Yellowish",Slow,Aggressive,Short term,Less,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Egoistic,Fearless",High,Deep,Strong,Kapha
Thin and Lean,Normal,Grey,"Moist,Greasy",Glowing,Underweight,Blackish,"Large,White",Fast,Aggressive,Short term,Less,Dislike Cold,Calm,Constant,Proper Chewing,Skips Meal,More than Normal,Healthy,"Forgiving,Grateful",High,Rough,Mild,Kapha
Thin and Lean,Normal,Grey,"Moist,Greasy",Pinkish,Normal,Pinkish,"Medium,Yellowish",Medium,Stable,Long Term,Sleepy,Dislike Moist,Anger,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Weak,"Forgiving,Grateful",High,Rough,Negligible,Vata
Well Built,Greasy,Grey,"Soft,Sweating",Glowing,Underweight,Pinkish,"Irregular,Blackish",Fast,Restless,Good Memory,Less,Dislike Heat,Calm,Constant,Improper Chewing,Skips Meal,Less than Normal,Weak,"Jealous,Fearful",Medium,Deep,Strong,Pitta
Well Built,Dry,Black,"Dry,Rough",Dark,Normal,Pinkish,"Medium,Yellowish",Medium,Aggressive,Long Term,Less,Dislike Cold,Calm,Constant,Irregular Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",Medium,Fast,Strong,Pitta
Medium,Dry,Brown,"Moist,Greasy",Dark,Normal,Blackish,"Irregular,Blackish",Medium,Stable,Short term,Moderate,Dislike Heat,Calm,Constant,Irregular Chewing,Irregular,More than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Mild,Kapha
Well Built,Normal,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Medium,Yellowish",Fast,Stable,Good Memory,Moderate,Dislike Cold,Anger,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Strong,Kapha
Thin and Lean,Greasy,Grey,"Moist,Greasy",Pinkish,Underweight,Blackish,"Large,White",Fast,Stable,Short term,Moderate,Dislike Heat,Anger,Constant,Improper Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Negligible,Pitta
Medium,Normal,Brown,"Soft,Sweating",Pinkish,Underweight,Redish,"Large,White",Slow,Restless,Long Term,Moderate,Dislike Cold,Anger,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",Low,Fast,Negligible,Pitta
Thin and Lean,Normal,Brown,"Soft,Sweating",Dark,Overweight,Redish,"Medium,Yellowish",Medium,Restless,Good Memory,Moderate,Dislike Cold,Anger,Changes Quickly,Improper Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",Medium,Deep,Mild,Pitta
Thin and Lean,Normal,Black,"Soft,Sweating",Dark,Overweight,Blackish,"Medium,Yellowish",Fast,Stable,Good Memory,Moderate,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Healthy,"Forgiving,Grateful",Low,Rough,Strong,Kapha
Thin and Lean,Greasy,Black,"Moist,Greasy",Glowing,Overweight,Pinkish,"Large,White",Medium,Restless,Long Term,Sleepy,Dislike Moist,Anger,Constant,Proper Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",Low,Deep,Negligible,Kapha
Medium,Normal,Brown,"Dry,Rough",Pinkish,Overweight,Redish,"Irregular,Blackish",Fast,Stable,Short term,Sleepy,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Low,Rough,Negligible,Kapha
Thin and Lean,Normal,Brown,"Dry,Rough",Pinkish,Underweight,Redish,"Medium,Yellowish",Fast,Aggressive,Good Memory,Sleepy,Dislike Cold,Anger,Constant,Improper Chewing,Irregular,More than Normal,Weak,"Forgiving,Grateful",High,Deep,Strong,Kapha
Well Built,Greasy,Brown,"Dry,Rough",Glowing,Overweight,Blackish,"Large,White",Medium,Restless,Short term,Less,Dislike Moist,Calm,Constant,Proper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",High,Rough,Mild,Kapha
Well Built,Greasy,Grey,"Moist,Greasy",Glowing,Underweight,Pinkish,"Irregular,Blackish",Fast,Aggressive,Long Term,Sleepy,Dislike Cold,Calm,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Medium,Fast,Strong,Pitta
Thin and Lean,Normal,Brown,"Soft,Sweating",Glowing,Normal,Blackish,"Large,White",Slow,Stable,Good Memory,Sleepy,Dislike Heat,Anxiety,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Mild,Kapha
Thin and Lean,Dry,Grey,"Soft,Sweating",Pinkish,Overweight,Blackish,"Irregular,Blackish",Fast,Aggressive,Short term,Moderate,Dislike Moist,Calm,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Healthy,"Forgiving,Grateful",Medium,Deep,Strong,Pitta
Thin and Lean,Greasy,Black,"Soft,Sweating",Pinkish,Overweight,Pinkish,"Irregular,Blackish",Slow,Restless,Good Memory,Sleepy,Dislike Heat,Anger,Constant,Irregular Chewing,Irregular,Normal,Healthy,"Jealous,Fearful",High,Fast,Strong,Kapha
Medium,Normal,Black,"Dry,Rough",Pinkish,Underweight,Redish,"Irregular,Blackish",Medium,Restless,Short term,Less,Dislike Moist,Anxiety,Changes Quickly,Proper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",Low,Rough,Mild,Kapha
Well Built,Normal,Black,"Dry,Rough",Dark,Underweight,Blackish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Moderate,Dislike Moist,Anxiety,Constant,Proper Chewing,Skips Meal,More than Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Strong,Pitta
Thin and Lean,Greasy,Grey,"Dry,Rough",Glowing,Overweight,Pinkish,"Large,White",Fast,Restless,Long Term,Moderate,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Skips Meal,Normal,Healthy,"Jealous,Fearful",Medium,Fast,Negligible,Pitta
Thin and Lean,Greasy,Brown,"Dry,Rough",Pinkish,Underweight,Redish,"Irregular,Blackish",Fast,Restless,Short term,Moderate,Dislike Moist,Anxiety,Changes Quickly,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Strong,Pitta
Thin and Lean,Greasy,Black,"Dry,Rough",Glowing,Underweight,Redish,"Medium,Yellowish",Medium,Stable,Long Term,Sleepy,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Irregular,Normal,Healthy,"Egoistic,Fearless",High,Rough,Mild,Vata
Thin and Lean,Greasy,Brown,"Moist,Greasy",Dark,Normal,Redish,"Irregular,Blackish",Fast,Stable,Long Term,Less,Dislike Moist,Anger,Changes Quickly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Egoistic,Fearless",Low,Deep,Mild,Kapha
Thin and Lean,Normal,Grey,"Dry,Rough",Glowing,Underweight,Pinkish,"Medium,Yellowish",Medium,Restless,Short term,Less,Dislike Cold,Anxiety,Constant,Improper Chewing,Irregular,Normal,Weak,"Egoistic,Fearless",High,Rough,Strong,Vata
Well Built,Dry,Grey,"Soft,Sweating",Dark,Overweight,Blackish,"Large,White",Fast,Restless,Short term,Moderate,Dislike Moist,Calm,Changes Slowly,Irregular Chewing,Skips Meal,Less than Normal,Healthy,"Forgiving,Grateful",Low,Rough,Strong,Vata
Thin and Lean,Greasy,Brown,"Soft,Sweating",Pinkish,Overweight,Blackish,"Irregular,Blackish",Slow,Stable,Short term,Less,Dislike Heat,Anxiety,Constant,Proper Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Negligible,Kapha
Thin and Lean,Dry,Brown,"Moist,Greasy",Glowing,Overweight,Pinkish,"Large,White",Medium,Stable,Good Memory,Moderate,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",Medium,Fast,Negligible,Pitta
Well Built,Greasy,Black,"Soft,Sweating",Pinkish,Normal,Blackish,"Irregular,Blackish",Slow,Stable,Good Memory,Less,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Healthy,"Jealous,Fearful",Low,Deep,Mild,Kapha
Medium,Greasy,Grey,"Soft,Sweating",Pinkish,Underweight,Pinkish,"Irregular,Blackish",Slow,Stable,Good Memory,Less,Dislike Heat,Anxiety,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Weak,"Jealous,Fearful",Low,Deep,Negligible,Kapha
Well Built,Normal,Black,"Dry,Rough",Glowing,Underweight,Blackish,"Medium,Yellowish",Fast,Aggressive,Good Memory,Sleepy,Dislike Cold,Anger,Changes Slowly,Improper Chewing,Skips Meal,More than Normal,Heavy,"Jealous,Fearful",High,Deep,Strong,Kapha
Well Built,Greasy,Black,"Moist,Greasy",Dark,Underweight,Redish,"Irregular,Blackish",Slow,Stable,Short term,Less,Dislike Moist,Anxiety,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",Low,Deep,Negligible,Kapha
Thin and Lean,Dry,Grey,"Soft,Sweating",Dark,Underweight,Pinkish,"Large,White",Medium,Restless,Short term,Moderate,Dislike Cold,Calm,Constant,Irregular Chewing,Irregular,More than Normal,Healthy,"Egoistic,Fearless",High,Deep,Strong,Vata
Thin and Lean,Dry,Brown,"Dry,Rough",Pinkish,Overweight,Blackish,"Medium,Yellowish",Fast,Aggressive,Long Term,Sleepy,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",High,Rough,Strong,Kapha
Well Built,Normal,Brown,"Dry,Rough",Glowing,Normal,Blackish,"Medium,Yellowish",Medium,Stable,Short term,Less,Dislike Cold,Anger,Changes Slowly,Proper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",Low,Fast,Negligible,Pitta
