Body Frame,Type of Hair,Color of Hair,Skin,Complexion,Body Weight,Nails,Size and Color of the Teeth,Pace of Performing Work,Mental Activity,Memory,Sleep Pattern,Weather Conditions,Reaction under Adverse Situations,Mood,Eating Habit,Hunger,Body Temperature,Joints,Nature,Body Energy,Quality of Voice,Body Odor
Medium,Normal,Black,"Soft,Sweating",Glowing,Underweight,Redish,"Medium,Yellowish",Fast,Stable,Long Term,Sleepy,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Skips Meal,More than Normal,Healthy,"Egoistic,Fearless",High,Deep,Negligible
Well Built,Greasy,Brown,"Moist,Greasy",Glowing,Normal,Pinkish,"Large,White",Fast,Aggressive,Long Term,Moderate,Dislike Heat,Calm,Constant,Irregular Chewing,Irregular,More than Normal,Heavy,"Jealous,Fearful",High,Deep,Mild
Well Built,Dry,Brown,"Moist,Greasy",Pinkish,Normal,Redish,"Large,White",Medium,Restless,Good Memory,Sleepy,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Irregular,Less than Normal,Weak,"Jealous,Fearful",Medium,Rough,Strong
Thin and Lean,Greasy,Grey,"Soft,Sweating",Pinkish,Overweight,Redish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Less,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Low,Deep,Strong
Thin and Lean,Dry,Grey,"Moist,Greasy",Dark,Normal,Pinkish,"Large,White",Medium,Aggressive,Long Term,Sleepy,Dislike Heat,Anger,Constant,Irregular Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",High,Deep,Strong
Well Built,Dry,Black,"Soft,Sweating",Dark,Underweight,Pinkish,"Large,White",Fast,Restless,Short term,Moderate,Dislike Moist,Anxiety,Constant,Proper Chewing,Skips Meal,Normal,Healthy,"Forgiving,Grateful",Medium,Deep,Strong
Well Built,Normal,Grey,"Dry,Rough",Dark,Normal,Redish,"Large,White",Medium,Stable,Good Memory,Moderate,Dislike Cold,Calm,Constant,Proper Chewing,Skips Meal,More than Normal,Weak,"Forgiving,Grateful",High,Fast,Strong
Well Built,Greasy,Black,"Soft,Sweating",Glowing,Overweight,Redish,"Irregular,Blackish",Slow,Aggressive,Good Memory,Moderate,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Medium,Fast,Strong
Medium,Greasy,Grey,"Moist,Greasy",Pinkish,Normal,Pinkish,"Large,White",Fast,Restless,Long Term,Moderate,Dislike Moist,Calm,Constant,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Jealous,Fearful",Medium,Deep,Negligible
Medium,Normal,Black,"Soft,Sweating",Dark,Overweight,Redish,"Medium,Yellowish",Fast,Aggressive,Short term,Moderate,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Medium,Rough,Strong
Medium,Normal,Grey,"Dry,Rough",Pinkish,Overweight,Redish,"Irregular,Blackish",Medium,Restless,Long Term,Less,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,Less than Normal,Healthy,"Forgiving,Grateful",Medium,Rough,Strong
Well Built,Greasy,Grey,"Soft,Sweating",Glowing,Overweight,Blackish,"Irregular,Blackish",Fast,Restless,Long Term,Less,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",Low,Fast,Strong
Well Built,Greasy,Brown,"Dry,Rough",Dark,Overweight,Redish,"Medium,Yellowish",Slow,Restless,Good Memory,Less,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Egoistic,Fearless",High,Rough,Strong
Well Built,Greasy,Black,"Dry,Rough",Dark,Overweight,Pinkish,"Large,White",Fast,Restless,Long Term,Less,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",Low,Rough,Strong
Well Built,Dry,Grey,"Moist,Greasy",Pinkish,Underweight,Redish,"Irregular,Blackish",Medium,Restless,Long Term,Moderate,Dislike Heat,Anger,Constant,Improper Chewing,Skips Meal,Less than Normal,Weak,"Egoistic,Fearless",High,Rough,Negligible
Thin and Lean,Dry,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Irregular,Blackish",Fast,Restless,Short term,Less,Dislike Moist,Anxiety,Changes Slowly,Proper Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",High,Rough,Mild
Medium,Normal,Brown,"Dry,Rough",Dark,Underweight,Pinkish,"Large,White",Medium,Aggressive,Short term,Less,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Forgiving,Grateful",Medium,Deep,Strong
Well Built,Dry,Black,"Dry,Rough",Pinkish,Overweight,Blackish,"Large,White",Slow,Aggressive,Good Memory,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Healthy,"Forgiving,Grateful",Medium,Deep,Strong
Thin and Lean,Normal,Black,"Dry,Rough",Glowing,Overweight,Pinkish,"Large,White",Medium,Aggressive,Good Memory,Moderate,Dislike Moist,Calm,Constant,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",Medium,Deep,Negligible
Thin and Lean,Dry,Grey,"Dry,Rough",Glowing,Underweight,Pinkish,"Large,White",Slow,Restless,Long Term,Less,Dislike Moist,Anxiety,Constant,Irregular Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",Medium,Fast,Strong
Well Built,Dry,Black,"Dry,Rough",Dark,Underweight,Redish,"Medium,Yellowish",Slow,Stable,Good Memory,Moderate,Dislike Heat,Calm,Constant,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Jealous,Fearful",High,Deep,Strong
Well Built,Dry,Black,"Soft,Sweating",Pinkish,Normal,Redish,"Medium,Yellowish",Fast,Restless,Long Term,Sleepy,Dislike Moist,Calm,Constant,Improper Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",Medium,Rough,Mild
Medium,Dry,Grey,"Moist,Greasy",Glowing,Normal,Redish,"Irregular,Blackish",Fast,Restless,Short term,Less,Dislike Moist,Anxiety,Constant,Improper Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",High,Deep,Mild
Medium,Greasy,Grey,"Soft,Sweating",Pinkish,Overweight,Blackish,"Large,White",Slow,Stable,Short term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",Low,Rough,Negligible
Well Built,Dry,Grey,"Dry,Rough",Glowing,Underweight,Pinkish,"Large,White",Slow,Stable,Short term,Less,Dislike Moist,Anxiety,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Low,Fast,Negligible
Medium,Greasy,Black,"Soft,Sweating",Dark,Underweight,Redish,"Large,White",Medium,Stable,Good Memory,Sleepy,Dislike Cold,Anger,Changes Quickly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Forgiving,Grateful",High,Fast,Negligible
Well Built,Normal,Black,"Soft,Sweating",Dark,Underweight,Redish,"Irregular,Blackish",Fast,Stable,Good Memory,Less,Dislike Cold,Anger,Constant,Improper Chewing,Irregular,More than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Mild
Medium,Greasy,Black,"Dry,Rough",Dark,Normal,Pinkish,"Irregular,Blackish",Fast,Stable,Short term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",High,Rough,Negligible
Medium,Greasy,Grey,"Moist,Greasy",Dark,Normal,Blackish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Cold,Anger,Changes Slowly,Improper Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",Low,Fast,Negligible
Well Built,Normal,Brown,"Moist,Greasy",Glowing,Overweight,Pinkish,"Irregular,Blackish",Slow,Stable,Short term,Sleepy,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,Less than Normal,Heavy,"Egoistic,Fearless",High,Deep,Negligible
Thin and Lean,Normal,Brown,"Moist,Greasy",Glowing,Normal,Pinkish,"Medium,Yellowish",Medium,Stable,Good Memory,Less,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Skips Meal,More than Normal,Heavy,"Egoistic,Fearless",Low,Fast,Negligible
Medium,Greasy,Grey,"Soft,Sweating",Pinkish,Underweight,Redish,"Irregular,Blackish",Fast,Stable,Long Term,Moderate,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",High,Fast,Mild
Medium,Greasy,Grey,"Moist,Greasy",Dark,Normal,Pinkish,"Large,White",Medium,Stable,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",High,Deep,Mild
Medium,Normal,Black,"Moist,Greasy",Glowing,Underweight,Redish,"Medium,Yellowish",Slow,Aggressive,Long Term,Less,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Negligible
Well Built,Normal,Grey,"Soft,Sweating",Pinkish,Normal,Redish,"Medium,Yellowish",Fast,Restless,Short term,Less,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",Medium,Rough,Mild
Thin and Lean,Dry,Grey,"Soft,Sweating",Glowing,Overweight,Redish,"Large,White",Slow,Aggressive,Short term,Less,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Mild
Medium,Greasy,Black,"Dry,Rough",Dark,Overweight,Pinkish,"Medium,Yellowish",Slow,Aggressive,Good Memory,Moderate,Dislike Cold,Anger,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Low,Deep,Mild
Medium,Greasy,Brown,"Moist,Greasy",Pinkish,Underweight,Blackish,"Large,White",Fast,Aggressive,Good Memory,Moderate,Dislike Heat,Anger,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Mild
Medium,Normal,Brown,"Soft,Sweating",Dark,Normal,Blackish,"Large,White",Medium,Stable,Good Memory,Less,Dislike Moist,Calm,Constant,Irregular Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",High,Deep,Mild
Well Built,Dry,Grey,"Soft,Sweating",Dark,Normal,Redish,"Large,White",Medium,Aggressive,Good Memory,Moderate,Dislike Cold,Calm,Constant,Irregular Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",High,Rough,Strong
Well Built,Greasy,Grey,"Soft,Sweating",Glowing,Underweight,Blackish,"Large,White",Medium,Restless,Long Term,Sleepy,Dislike Cold,Anger,Changes Quickly,Improper Chewing,Irregular,More than Normal,Heavy,"Jealous,Fearful",Medium,Rough,Mild
Thin and Lean,Dry,Brown,"Soft,Sweating",Pinkish,Normal,Blackish,"Irregular,Blackish",Medium,Aggressive,Long Term,Sleepy,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Skips Meal,Normal,Healthy,"Jealous,Fearful",High,Fast,Negligible
Thin and Lean,Dry,Grey,"Moist,Greasy",Dark,Normal,Blackish,"Large,White",Medium,Restless,Good Memory,Moderate,Dislike Cold,Anxiety,Constant,Proper Chewing,Irregular,Normal,Weak,"Jealous,Fearful",Medium,Rough,Negligible
Well Built,Normal,Black,"Moist,Greasy",Pinkish,Normal,Pinkish,"Irregular,Blackish",Slow,Restless,Good Memory,Moderate,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",High,Rough,Mild
Medium,Normal,Brown,"Soft,Sweating",Dark,Underweight,Pinkish,"Medium,Yellowish",Medium,Aggressive,Short term,Moderate,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Low,Deep,Negligible
Medium,Dry,Brown,"Soft,Sweating",Pinkish,Overweight,Blackish,"Irregular,Blackish",Medium,Aggressive,Long Term,Sleepy,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Forgiving,Grateful",High,Deep,Mild
Medium,Dry,Black,"Moist,Greasy",Pinkish,Overweight,Blackish,"Irregular,Blackish",Slow,Stable,Long Term,Less,Dislike Cold,Anxiety,Constant,Improper Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Low,Fast,Negligible
Thin and Lean,Dry,Grey,"Dry,Rough",Dark,Overweight,Redish,"Large,White",Medium,Restless,Good Memory,Moderate,Dislike Heat,Anger,Changes Slowly,Improper Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Low,Rough,Strong
Medium,Normal,Brown,"Soft,Sweating",Glowing,Overweight,Redish,"Irregular,Blackish",Fast,Restless,Short term,Sleepy,Dislike Moist,Anger,Changes Slowly,Improper Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Low,Rough,Mild
Well Built,Normal,Grey,"Dry,Rough",Glowing,Overweight,Pinkish,"Irregular,Blackish",Slow,Stable,Short term,Moderate,Dislike Moist,Anger,Constant,Irregular Chewing,Irregular,More than Normal,Weak,"Jealous,Fearful",Medium,Rough,Strong
Medium,Dry,Grey,"Soft,Sweating",Pinkish,Normal,Redish,"Medium,Yellowish",Fast,Stable,Good Memory,Sleepy,Dislike Heat,Calm,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",Medium,Fast,Strong
Medium,Dry,Brown,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Large,White",Slow,Stable,Good Memory,Less,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",Low,Rough,Negligible
Medium,Normal,Grey,"Moist,Greasy",Glowing,Normal,Redish,"Large,White",Medium,Stable,Short term,Sleepy,Dislike Heat,Anxiety,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Rough,Negligible
Medium,Normal,Brown,"Soft,Sweating",Glowing,Normal,Blackish,"Medium,Yellowish",Fast,Aggressive,Short term,Less,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",High,Deep,Mild
Well Built,Dry,Grey,"Dry,Rough",Dark,Normal,Pinkish,"Medium,Yellowish",Fast,Restless,Long Term,Moderate,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,Less than Normal,Weak,"Egoistic,Fearless",Medium,Rough,Strong
Medium,Dry,Brown,"Dry,Rough",Pinkish,Normal,Pinkish,"Irregular,Blackish",Medium,Aggressive,Short term,Less,Dislike Heat,Anxiety,Changes Quickly,Improper Chewing,Skips Meal,Normal,Weak,"Jealous,Fearful",Medium,Rough,Strong
Medium,Normal,Grey,"Soft,Sweating",Glowing,Underweight,Blackish,"Medium,Yellowish",Slow,Aggressive,Long Term,Sleepy,Dislike Moist,Anger,Constant,Irregular Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Strong
Thin and Lean,Dry,Black,"Moist,Greasy",Glowing,Normal,Pinkish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Less,Dislike Moist,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",High,Rough,Negligible
Medium,Greasy,Grey,"Moist,Greasy",Glowing,Overweight,Pinkish,"Medium,Yellowish",Slow,Restless,Good Memory,Sleepy,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Jealous,Fearful",High,Rough,Negligible
Thin and Lean,Normal,Black,"Soft,Sweating",Glowing,Overweight,Pinkish,"Medium,Yellowish",Medium,Restless,Long Term,Sleepy,Dislike Heat,Anger,Constant,Irregular Chewing,Sudden and Sharp,Normal,Healthy,"Forgiving,Grateful",High,Deep,Strong
Well Built,Greasy,Brown,"Moist,Greasy",Glowing,Normal,Blackish,"Large,White",Medium,Restless,Long Term,Sleepy,Dislike Moist,Anger,Constant,Irregular Chewing,Irregular,Normal,Weak,"Egoistic,Fearless",Medium,Fast,Mild
Well Built,Normal,Black,"Soft,Sweating",Dark,Normal,Pinkish,"Medium,Yellowish",Fast,Stable,Long Term,Sleepy,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Healthy,"Egoistic,Fearless",High,Rough,Strong
Thin and Lean,Normal,Brown,"Soft,Sweating",Dark,Underweight,Blackish,"Irregular,Blackish",Slow,Stable,Good Memory,Less,Dislike Heat,Calm,Constant,Irregular Chewing,Skips Meal,More than Normal,Healthy,"Forgiving,Grateful",High,Rough,Negligible
Thin and Lean,Dry,Grey,"Soft,Sweating",Pinkish,Normal,Redish,"Medium,Yellowish",Medium,Stable,Long Term,Sleepy,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",Low,Rough,Mild
Well Built,Greasy,Brown,"Soft,Sweating",Pinkish,Underweight,Blackish,"Large,White",Fast,Restless,Long Term,Moderate,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",High,Rough,Negligible
Thin and Lean,Greasy,Brown,"Dry,Rough",Glowing,Underweight,Blackish,"Large,White",Fast,Restless,Long Term,Sleepy,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",High,Rough,Strong
Medium,Normal,Brown,"Dry,Rough",Pinkish,Normal,Pinkish,"Large,White",Slow,Aggressive,Short term,Sleepy,Dislike Heat,Anger,Changes Slowly,Proper Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Low,Fast,Negligible
Medium,Greasy,Black,"Dry,Rough",Glowing,Normal,Redish,"Medium,Yellowish",Medium,Restless,Good Memory,Moderate,Dislike Cold,Anger,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Weak,"Forgiving,Grateful",Low,Rough,Strong
Medium,Normal,Black,"Soft,Sweating",Glowing,Overweight,Blackish,"Irregular,Blackish",Fast,Stable,Good Memory,Sleepy,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Healthy,"Forgiving,Grateful",Medium,Rough,Negligible
Well Built,Normal,Grey,"Dry,Rough",Pinkish,Normal,Pinkish,"Irregular,Blackish",Fast,Stable,Long Term,Less,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Heavy,"Forgiving,Grateful",Low,Fast,Negligible
Well Built,Greasy,Grey,"Soft,Sweating",Dark,Overweight,Pinkish,"Medium,Yellowish",Fast,Aggressive,Long Term,Sleepy,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Mild
Thin and Lean,Greasy,Black,"Moist,Greasy",Pinkish,Normal,Redish,"Irregular,Blackish",Fast,Stable,Good Memory,Moderate,Dislike Moist,Anger,Constant,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Low,Rough,Strong
Medium,Greasy,Brown,"Moist,Greasy",Pinkish,Normal,Redish,"Medium,Yellowish",Fast,Aggressive,Short term,Moderate,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",Low,Fast,Mild
Thin and Lean,Greasy,Grey,"Moist,Greasy",Glowing,Overweight,Pinkish,"Irregular,Blackish",Fast,Stable,Long Term,Less,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",Medium,Fast,Strong
Well Built,Dry,Grey,"Soft,Sweating",Pinkish,Overweight,Pinkish,"Large,White",Fast,Stable,Long Term,Sleepy,Dislike Moist,Calm,Changes Quickly,Improper Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Low,Deep,Mild
Well Built,Dry,Brown,"Dry,Rough",Glowing,Overweight,Redish,"Large,White",Slow,Stable,Good Memory,Sleepy,Dislike Cold,Anger,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",High,Deep,Mild
Thin and Lean,Dry,Grey,"Soft,Sweating",Glowing,Underweight,Blackish,"Medium,Yellowish",Slow,Stable,Short term,Moderate,Dislike Heat,Calm,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",High,Rough,Negligible
Medium,Dry,Black,"Soft,Sweating",Glowing,Normal,Blackish,"Medium,Yellowish",Fast,Stable,Long Term,Sleepy,Dislike Moist,Anger,Changes Quickly,Proper Chewing,Skips Meal,More than Normal,Healthy,"Jealous,Fearful",Low,Fast,Negligible
Well Built,Dry,Brown,"Soft,Sweating",Pinkish,Overweight,Redish,"Large,White",Slow,Aggressive,Short term,Moderate,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Sudden and Sharp,Less than Normal,Healthy,"Forgiving,Grateful",Low,Rough,Strong
Thin and Lean,Greasy,Brown,"Moist,Greasy",Glowing,Underweight,Redish,"Large,White",Slow,Stable,Good Memory,Sleepy,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Heavy,"Egoistic,Fearless",Low,Fast,Negligible
Thin and Lean,Greasy,Brown,"Dry,Rough",Dark,Overweight,Redish,"Irregular,Blackish",Fast,Stable,Short term,Less,Dislike Cold,Calm,Constant,Proper Chewing,Skips Meal,Normal,Healthy,"Egoistic,Fearless",High,Deep,Strong
Thin and Lean,Dry,Brown,"Dry,Rough",Glowing,Overweight,Blackish,"Medium,Yellowish",Fast,Restless,Good Memory,Less,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Normal,Weak,"Egoistic,Fearless",High,Deep,Mild
Thin and Lean,Dry,Black,"Dry,Rough",Dark,Overweight,Redish,"Large,White",Slow,Restless,Short term,Sleepy,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",Low,Rough,Negligible
Thin and Lean,Dry,Black,"Soft,Sweating",Glowing,Normal,Blackish,"Large,White",Fast,Stable,Long Term,Moderate,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Mild
Well Built,Greasy,Black,"Moist,Greasy",Pinkish,Overweight,Pinkish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Moderate,Dislike Cold,Anxiety,Constant,Proper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Strong
Well Built,Dry,Black,"Dry,Rough",Glowing,Normal,Pinkish,"Large,White",Medium,Stable,Good Memory,Sleepy,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Medium,Deep,Strong
Medium,Normal,Brown,"Moist,Greasy",Dark,Overweight,Blackish,"Medium,Yellowish",Fast,Aggressive,Good Memory,Moderate,Dislike Moist,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Medium,Fast,Strong
Well Built,Greasy,Brown,"Dry,Rough",Pinkish,Normal,Redish,"Large,White",Medium,Restless,Short term,Less,Dislike Moist,Calm,Constant,Proper Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Negligible
Medium,Normal,Black,"Dry,Rough",Glowing,Normal,Redish,"Medium,Yellowish",Fast,Restless,Short term,Sleepy,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Strong
Well Built,Dry,Grey,"Moist,Greasy",Pinkish,Underweight,Redish,"Large,White",Medium,Stable,Short term,Moderate,Dislike Cold,Anxiety,Changes Quickly,Irregular Chewing,Irregular,Normal,Weak,"Egoistic,Fearless",Medium,Rough,Mild
Well Built,Normal,Brown,"Soft,Sweating",Dark,Overweight,Blackish,"Medium,Yellowish",Medium,Aggressive,Good Memory,Sleepy,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",High,Deep,Strong
Medium,Normal,Brown,"Soft,Sweating",Dark,Underweight,Redish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Sleepy,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Skips Meal,More than Normal,Healthy,"Forgiving,Grateful",High,Rough,Strong
Medium,Dry,Brown,"Moist,Greasy",Pinkish,Underweight,Redish,"Medium,Yellowish",Fast,Aggressive,Short term,Less,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",Low,Rough,Negligible
Thin and Lean,Greasy,Brown,"Dry,Rough",Dark,Normal,Blackish,"Medium,Yellowish",Fast,Aggressive,Short term,Less,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Healthy,"Jealous,Fearful",Medium,Rough,Negligible
Medium,Dry,Brown,"Dry,Rough",Dark,Underweight,Blackish,"Medium,Yellowish",Fast,Stable,Long Term,Moderate,Dislike Heat,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",Low,Fast,Mild
Medium,Greasy,Grey,"Dry,Rough",Dark,Overweight,Redish,"Irregular,Blackish",Slow,Restless,Good Memory,Moderate,Dislike Cold,Calm,Constant,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",Medium,Deep,Negligible
Well Built,Greasy,Grey,"Moist,Greasy",Glowing,Normal,Redish,"Irregular,Blackish",Medium,Stable,Long Term,Moderate,Dislike Cold,Anger,Changes Quickly,Improper Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",Low,Rough,Negligible
Well Built,Dry,Brown,"Moist,Greasy",Glowing,Underweight,Blackish,"Irregular,Blackish",Medium,Stable,Good Memory,Less,Dislike Cold,Calm,Changes Slowly,Improper Chewing,Skips Meal,Normal,Healthy,"Forgiving,Grateful",Low,Deep,Strong
Thin and Lean,Dry,Black,"Moist,Greasy",Pinkish,Normal,Blackish,"Large,White",Medium,Aggressive,Long Term,Moderate,Dislike Heat,Anger,Changes Slowly,Irregular Chewing,Irregular,More than Normal,Heavy,"Forgiving,Grateful",High,Rough,Mild
Medium,Dry,Brown,"Soft,Sweating",Glowing,Underweight,Pinkish,"Large,White",Slow,Restless,Short term,Less,Dislike Moist,Calm,Constant,Irregular Chewing,Irregular,Less than Normal,Weak,"Jealous,Fearful",Low,Deep,Strong
Well Built,Normal,Grey,"Dry,Rough",Dark,Overweight,Blackish,"Irregular,Blackish",Slow,Stable,Good Memory,Moderate,Dislike Cold,Anger,Changes Slowly,Proper Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",High,Deep,Negligible
Well Built,Dry,Black,"Dry,Rough",Glowing,Normal,Pinkish,"Medium,Yellowish",Slow,Stable,Short term,Moderate,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Irregular,More than Normal,Heavy,"Egoistic,Fearless",High,Fast,Mild
Thin and Lean,Normal,Grey,"Dry,Rough",Glowing,Normal,Blackish,"Medium,Yellowish",Medium,Restless,Long Term,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Healthy,"Jealous,Fearful",Medium,Rough,Mild
